,id.orig_p,id.resp_p,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,flow_pkts_per_sec,down_up_ratio,fwd_header_size_max,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,flow_CWR_flag_count,fwd_pkts_payload.avg,bwd_pkts_payload.min,bwd_pkts_payload.avg,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,fwd_iat.std,fwd_subflow_bytes,fwd_bulk_bytes,active.std,idle.tot,idle.std,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,proto_icmp,proto_tcp,proto_udp,service_-,service_dhcp,service_dns,service_http,service_irc,service_mqtt,service_ntp,service_radius,service_ssh,service_ssl
0,38667,1883,32.011598,9,5,3,0.437341,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10403073.630178,25.333333,0.0,0.0,29729182.958603,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
1,51143,1883,31.88358400000001,9,5,3,0.439097,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10463455.560613,25.333333,0.0,0.0,29855277.061462,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
2,44761,1883,32.124053,9,5,3,0.435811,0.555556,40,40,0,2,1,3,13,0,0,8.222222,0.0,6.0,0.0,33.0,104.0,7.428571000000002,11.229866,10442377.920997,24.666667,0.0,0.0,29842149.019241,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
3,60893,1883,31.961063,9,5,3,0.438033,0.555556,40,40,0,2,1,3,13,0,0,8.222222,0.0,6.0,0.0,33.0,104.0,7.428571000000002,11.229866,10482528.222589,24.666667,0.0,0.0,29913774.967194,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
4,51087,1883,31.902362,9,5,3,0.438839,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10447019.098718,25.333333,0.0,0.0,29814704.89502,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
5,48579,1883,31.869686,9,5,3,0.439289,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10451334.018163,25.333333,0.0,0.0,29825548.171997,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
6,54063,1883,32.094711,9,5,3,0.436209,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10436858.369484,25.333333,0.0,0.0,29823416.948318,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
7,33457,1883,32.104011,9,5,3,0.436083,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10425103.716337,25.333333,0.0,0.0,29795433.044434004,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
8,52181,1883,32.026967,9,5,3,0.437132,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10374502.505825,25.333333,0.0,0.0,29661617.040634006,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
9,53469,1883,32.048637,9,5,3,0.436836,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10421188.193847,25.333333,0.0,0.0,29778450.965881,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
10,54153,1883,31.977057,9,5,3,0.437814,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10463622.957275,25.333333,0.0,0.0,29870183.944702003,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
11,39671,1883,31.962308,9,5,3,0.438016,0.555556,40,40,0,2,1,3,13,0,0,8.333333,0.0,6.2,0.0,33.0,106.0,7.571428999999998,11.420052,10445280.460627,25.0,0.0,0.0,29819482.088089,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
12,44225,1883,31.965302,9,5,3,0.437975,0.555556,40,40,0,2,1,3,13,0,0,8.333333,0.0,6.2,0.0,33.0,106.0,7.571428999999998,11.420052,10412347.012165,25.0,0.0,0.0,29747197.86644,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
13,51495,1883,31.885127,9,5,3,0.439076,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10461021.44371,25.333333,0.0,0.0,29850662.946701,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
14,42037,1883,31.926578000000006,9,5,3,0.4385060000000001,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10463342.978046,25.333333,0.0,0.0,29860140.08522,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
15,36349,1883,32.061415999999994,9,5,3,0.436662,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10417433.918262,25.333333,0.0,0.0,29770004.034042,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
16,39763,1883,32.025109,9,5,3,0.437157,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10420872.468228,25.333333,0.0,0.0,29775004.863739,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
17,57501,1883,31.908247,9,5,3,0.438758,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10469456.785648,25.333333,0.0,0.0,29875375.032425,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
18,56117,1883,32.009238,9,5,3,0.437374,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10421987.296368,25.333333,0.0,0.0,29776599.168777,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
19,44927,1883,31.930485,9,5,3,0.4384520000000001,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10475734.717297,25.333333,0.0,0.0,29892142.057419,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
20,36375,1883,32.048572,9,5,3,0.436837,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10418312.602478,25.333333,0.0,0.0,29772324.085236,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
21,42381,1883,32.054278000000004,9,5,3,0.436759,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10415804.227115,25.333333,0.0,0.0,29765208.959579,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
22,58171,1883,31.927022,9,5,3,0.4385,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10466773.948203,25.333333,0.0,0.0,29867868.900299,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
23,39989,1883,32.038423,9,5,3,0.436975,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10387554.456182,25.333333,0.0,0.0,29697514.057159007,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
24,54593,1883,31.969466,9,5,3,0.437918,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10491781.182046,25.333333,0.0,0.0,29937090.158463,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
25,52085,1883,31.950179,9,5,3,0.438182,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10468254.720043,25.333333,0.0,0.0,29873291.015625,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
26,41525,1883,32.047288,9,5,3,0.436854,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10408143.167001,25.333333,0.0,0.0,29746104.001999,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
27,37425,1883,31.911588,9,5,3,0.438712,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10471047.445881,25.333333,0.0,0.0,29878719.091415007,0.0,64240,26847,502,0,1,0,0,0,0,0,0,1,0,0,0,0
